,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,isFlaggedFraud,isFraud
0,139,265803.35,0.0,0.0,751669.39,1017472.74,0,1,0,0,0,0,0
1,589,11278.28,0.0,0.0,220970.84,232249.12,0,1,0,0,0,0,0
2,284,16363.06,35966.16,19603.1,0.0,0.0,0,0,0,1,0,0,0
3,37,107223.31,20752629.71,20859853.02,804594.62,571711.22,1,0,0,0,0,0,0
4,287,3678.25,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
5,231,164337.58,32911.0,0.0,564495.37,728832.94,0,1,0,0,0,0,0
6,379,3482.61,122231.0,118748.39,0.0,0.0,0,0,0,1,0,0,0
7,210,17428.56,102995.0,85566.44,0.0,0.0,0,0,0,1,0,0,0
8,328,60911.42,14912625.25,14973536.67,576537.39,515625.96,1,0,0,0,0,0,0
9,326,10784.37,8042.0,0.0,0.0,0.0,0,0,0,1,0,0,0
10,133,195625.18,0.0,0.0,461536.01,657161.19,0,0,0,0,1,0,0
11,690,21741.62,195768.98,174027.36,0.0,0.0,0,0,0,1,0,0,0
12,134,130532.99,3790.0,134322.99,0.0,0.0,1,0,0,0,0,0,0
13,400,252456.28,31257.0,0.0,4852258.87,5104715.15,0,1,0,0,0,0,0
14,155,111702.91,0.0,0.0,760608.19,872311.1,0,1,0,0,0,0,0
15,383,14258.05,312.0,0.0,0.0,0.0,0,0,0,1,0,0,0
16,399,2841108.08,20343.0,0.0,0.0,2841108.08,0,0,0,0,1,0,0
17,371,681790.33,0.0,0.0,4587059.03,5268849.36,0,0,0,0,1,0,0
18,177,61705.21,0.0,0.0,7279623.43,7341328.64,0,1,0,0,0,0,0
19,33,5176.47,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
20,334,11905.26,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
21,39,366106.01,99368.0,0.0,5206091.36,5572197.37,0,1,0,0,0,0,0
22,321,337481.65,100114.0,0.0,0.0,337481.65,0,1,0,0,0,0,0
23,226,433013.17,0.0,0.0,2546516.74,2979529.91,0,1,0,0,0,0,0
24,474,4866.31,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
25,43,98449.87,70979.0,169428.87,594485.06,496035.2,1,0,0,0,0,0,0
26,153,150505.07,3341534.56,3492039.62,2692033.62,2541528.55,1,0,0,0,0,0,0
27,346,90447.39,8082104.31,8172551.7,7818477.55,7728030.17,1,0,0,0,0,0,0
28,283,52317.66,71743.55,124061.22,1269392.75,1217075.09,1,0,0,0,0,0,0
29,9,5229.27,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
30,330,974874.53,0.0,0.0,12372657.9,13347532.43,0,0,0,0,1,0,0
31,258,708115.57,63188.0,0.0,9829.23,717944.81,0,0,0,0,1,0,0
32,619,4240.53,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
33,345,13129.59,21752.0,8622.41,0.0,0.0,0,0,0,1,0,0,0
34,298,77257.92,0.0,0.0,3586840.62,3664098.54,0,1,0,0,0,0,0
35,380,17328.79,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
36,302,4631.85,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
37,408,95594.06,5826027.56,5921621.63,6221585.78,6125991.72,1,0,0,0,0,0,0
38,260,26598.47,3322.0,29920.47,567363.53,540765.06,1,0,0,0,0,0,0
39,212,129972.13,287012.0,157039.87,3532176.12,3662148.25,0,1,0,0,0,0,0
40,212,467254.04,3984754.73,4452008.77,5063386.49,4596132.44,1,0,0,0,0,0,0
41,13,133407.51,0.0,0.0,2095384.09,1597947.73,0,1,0,0,0,0,0
42,321,11088.16,0.0,0.0,64187.82,75275.98,0,1,0,0,0,0,0
43,204,87232.93,3287354.94,3374587.87,774740.32,687507.39,1,0,0,0,0,0,0
44,207,219068.27,0.0,0.0,552330.78,771399.06,0,1,0,0,0,0,0
45,309,25567.75,165693.06,140125.31,0.0,0.0,0,0,0,1,0,0,0
46,139,22139.78,0.0,0.0,498299.42,520439.19,0,1,0,0,0,0,0
47,346,88970.8,18862.6,0.0,217104.14,306074.94,0,1,0,0,0,0,0
48,130,202327.21,63156.0,0.0,0.0,202327.21,0,1,0,0,0,0,0
49,95,11624.41,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
50,139,362280.99,0.0,0.0,587086.11,949367.1,0,1,0,0,0,0,0
51,15,8651.37,21242.0,12590.63,0.0,0.0,0,0,0,1,0,0,0
52,356,941.53,30273.0,29331.47,177523.23,178464.77,0,0,1,0,0,0,0
